Name,Pubished Date,Original Price,Discount Price,Reviews,Tags
"Warhammer 40,000: Space Marine 2","
                    Sep 9, 2024                ",$59.99,$35.99,118738,"['Warhammer 40K', 'Action', 'Third-Person Shooter', 'Co-op', 'Multiplayer', 'PvE', 'Adventure', 'Action-Adventure', 'Third Person', 'Sci-fi', 'Wargame', '3D', 'War', 'Fantasy', 'Space', 'Singleplayer', 'Narration', 'Realistic', 'Futuristic', 'Cinematic']"
Once Human,"
                    Jul 9, 2024                ",N/A,Free,130342,"['Multiplayer', 'Free to Play', 'Survival', 'Open World Survival Craft', 'Open World', 'Horror', 'Co-op', 'Strategy', 'Base Building', 'Shooter', 'Post-apocalyptic', 'Simulation', 'Online Co-Op', 'Singleplayer', 'MMORPG', 'Action', 'Character Customization', 'Adventure', 'Strategy RPG', '3D']"
Car Dealer Simulator,"
                    May 29, 2025                ",$19.99,$17.99,534,"['Driving', 'Immersive Sim', 'Trading', 'Simulation', 'Automobile Sim', 'Life Sim', 'Casual', '3D', 'First-Person', 'Open World', 'Conversation', 'Realistic', 'Management', 'Family Friendly', 'Singleplayer', 'Cinematic', 'America', 'Modern', 'Inventory Management', 'Indie']"
REMATCH,"
                    Jun 19, 2025                ",N/A,$29.99,N/A,"['Sports', 'Football (Soccer)', 'PvP', 'Multiplayer', 'eSports', 'Simulation', 'Arcade', 'Online Co-Op', 'Third-Person Shooter', 'Immersive', 'Team-Based', 'Real Time Tactics', 'Action RTS', 'Character Customization', 'Third Person', '3D', 'Colorful', 'Stylized', 'Action', 'Futuristic']"
NBA 2K25,"
                    Oct 28, 2024                ",N/A,$69.99,22665,"['Sports', 'Basketball', 'Simulation', 'eSports', '3D', 'Controller', 'Management', 'PvP', 'Character Customization', 'Immersive Sim', 'Team-Based', 'Trading', 'Co-op', 'Local Co-Op', 'Multiplayer', 'Local Multiplayer', 'Online Co-Op', 'Singleplayer', '4 Player Local', 'Gambling']"
Call of Duty®: Black Ops II,"
                    Nov 12, 2012                ",$59.99,$19.79,21120,"['Multiplayer', 'Action', 'FPS', 'Shooter', 'Singleplayer', 'First-Person', 'Co-op', 'War', 'Online Co-Op', 'Team-Based', 'Futuristic', 'Controller', 'Survival', 'Tactical', 'Great Soundtrack', 'Horror', 'Adventure', 'Sci-fi', 'Massively Multiplayer', 'Atmospheric']"
DayZ,"
                    Dec 13, 2018                ",N/A,$49.99,356246,"['Survival', 'Open World', 'Online Co-Op', 'Zombies', 'Multiplayer', 'Post-apocalyptic', 'Shooter', 'PvP', 'Massively Multiplayer', 'Action', 'FPS', 'Horror', 'Sandbox', 'Co-op', 'Survival Horror', 'Adventure', 'Simulation', 'First-Person', 'Atmospheric', 'Choose Your Own Adventure']"
The Last of Us™ Part II Remastered,"
                    Apr 3, 2025                ",N/A,$49.99,15150,"['Story Rich', 'Post-apocalyptic', 'Third-Person Shooter', 'LGBTQ+', 'Action-Adventure', 'Third Person', 'Action', 'Horror', 'Stealth', 'Realistic', 'Emotional', 'Drama', 'Singleplayer', 'Atmospheric', 'Thriller', 'Survival', 'Adventure', 'Survival Horror', 'Dark', 'Sequel']"
Project Zomboid,"
                    Nov 8, 2013                ",N/A,$19.99,286081,"['Survival', 'Zombies', 'Open World', 'Multiplayer', 'Open World Survival Craft', 'Sandbox', 'Post-apocalyptic', 'Co-op', 'Crafting', 'Building', 'Indie', 'Simulation', 'RPG', 'Survival Horror', 'Realistic', 'Isometric', 'Singleplayer', '2D', 'Adventure', 'Early Access']"
Plague Inc: Evolved,"
                    Feb 18, 2016                ",$14.99,$3.74,49458,"['Strategy', 'Simulation', 'Outbreak Sim', 'Indie', 'Singleplayer', 'Multiplayer', 'Zombies', 'Casual', 'Tactical', 'Replay Value', 'Post-apocalyptic', 'Addictive', 'Realistic', '2D', 'Difficult', 'Atmospheric', 'Co-op', 'Sandbox', 'Early Access', 'Survival']"
